68,31.195955,121.44664,1
168,31.196007,121.44722,6
268,31.196148,121.447487,11
368,31.196203,121.447052,16
468,31.195696,121.44735,21
568,31.194376,121.443985,26
668,31.193539,121.442734,31
768,31.193825,121.442406,36
868,31.193563,121.442535,41
968,31.193857,121.442757,46
1068,31.195381,121.443718,51
1169,31.194502,121.442383,56
1269,31.195177,121.442345,61
1369,31.196114,121.44146,66
1469,31.196606,121.440819,71
1569,31.197144,121.441017,76
1669,31.198658,121.440498,81
1769,31.199236,121.440804,86
1869,31.199881,121.441582,91
1969,31.199722,121.441444,96
2069,31.199854,121.442848,101
2169,31.199942,121.44352,106
2269,31.199797,121.44342,111
2369,31.200659,121.443214,116
2469,31.200104,121.445084,121
2569,31.200544,121.445419,126
2669,31.200132,121.445587,131
2769,31.199171,121.446075,136
2869,31.198458,121.446472,141
2969,31.199492,121.445831,146
3069,31.197258,121.447365,151
3169,31.197792,121.446182,156
3269,31.196386,121.447723,161
3369,31.196215,121.44751,166
3469,31.194666,121.447899,171
3569,31.195284,121.448624,176
3669,31.194569,121.448891,181
3769,31.194805,121.448647,186
3869,31.194296,121.449821,191
3969,31.19315,121.449501,196
4069,31.192579,121.449944,201
4169,31.193066,121.449707,206
4269,31.192448,121.448997,211
4369,31.192465,121.448341,216
4469,31.191982,121.447647,221
4569,31.191355,121.447594,226
4669,31.191275,121.446198,231
4769,31.191048,121.44606,236
4869,31.191158,121.445389,241
4969,31.191114,121.444313,246
5069,31.190792,121.443626,251
5169,31.191668,121.444031,256
5269,31.192863,121.443405,261
5371,31.194069,121.443718,266
