58,31.196058,121.447144,1
158,31.195755,121.446678,6
258,31.195992,121.447609,11
358,31.195953,121.447227,16
458,31.195347,121.446472,21
558,31.194447,121.444496,26
658,31.193769,121.442993,31
758,31.194073,121.442772,36
858,31.193539,121.442337,41
958,31.193514,121.443108,46
1058,31.192644,121.442749,51
1159,31.195471,121.441551,56
1259,31.194557,121.441681,61
1359,31.195194,121.441383,66
1459,31.196577,121.440742,71
1559,31.197891,121.440422,76
1659,31.19795,121.440163,81
1759,31.199095,121.441025,86
1859,31.199671,121.441147,91
1959,31.199392,121.441154,96
2059,31.199688,121.44252,101
2159,31.200022,121.443459,106
2259,31.200409,121.443748,111
2359,31.200512,121.443161,116
2459,31.200148,121.444763,121
2559,31.200451,121.445335,126
2659,31.199999,121.44548,131
2759,31.199018,121.445908,136
2859,31.198948,121.4459,141
2959,31.199566,121.446106,146
3059,31.198059,121.446861,151
3159,31.196661,121.446747,156
3259,31.196033,121.446968,161
3359,31.196596,121.447311,166
3459,31.194283,121.446068,171
3559,31.194948,121.448105,176
3659,31.194681,121.44899,181
3759,31.194319,121.448761,186
3859,31.193104,121.449173,191
3959,31.193308,121.449844,196
4059,31.193178,121.450394,201
4159,31.193226,121.450089,206
4259,31.192522,121.448624,211
4359,31.192301,121.448944,216
4459,31.19208,121.447891,221
4559,31.191586,121.447365,226
4659,31.190929,121.446182,231
4759,31.191263,121.445976,236
4859,31.191378,121.446198,241
4959,31.19055,121.444954,246
5059,31.19125,121.443649,251
5159,31.191395,121.44442,256
5259,31.193245,121.443031,261
5360,31.192156,121.442505,266
